Name: 广东珠江, URL: http://14.155.188.23:4022/rtp/239.77.1.94:5146$1920x1080, Date: 2024-10-25, Resolution: 1920x1080, Response Time: 360 ms
Name: 广东珠江, URL: http://116.21.125.104:7777/rtp/239.77.1.94:5146$1920x1080, Date: 2024-10-25, Resolution: 1920x1080, Response Time: 365 ms
Name: 广东珠江, URL: http://113.109.250.116:9999/rtp/239.77.1.94:5146$1920x1080, Date: 2024-10-18, Resolution: 1920x1080, Response Time: 363 ms
Name: 广东珠江, URL: https://stream1.freetv.fun/468bff09871ed8a1eba7a539f461001a9683ac2cbb084ef2d52449c7f1a52478.m3u8$1280x720, Date: None, Resolution: 1280x720, Response Time: 375 ms
Name: 广东珠江, URL: https://stream1.freetv.fun/967c330a56e8f2fed10ea053ac29b132d29e323680b5e20a53e3af6bcf7b2f54.m3u8$1280x720, Date: None, Resolution: 1280x720, Response Time: 375 ms
Name: 广东珠江, URL: https://stream1.freetv.fun/yan-dong-zhu-jiang-gao-qing-1.m3u8$1280x720, Date: None, Resolution: 1280x720, Response Time: 375 ms
Name: 广东珠江, URL: https://stream1.freetv.fun/yan-dong-zhu-jiang-4.ctv$1280x720, Date: None, Resolution: 1280x720, Response Time: 375 ms
Name: 广东珠江, URL: https://stream1.freetv.fun/5f12b986a77ebe5440c508c13895b3e7f8767b2a47c79f3f5fe948097e15337d.m3u8$1280x720, Date: None, Resolution: 1280x720, Response Time: 375 ms
Name: 广东珠江, URL: https://stream1.freetv.fun/yan-dong-zhu-jiang-7.m3u8$1280x720, Date: None, Resolution: 1280x720, Response Time: 375 ms
Name: 广东珠江, URL: https://stream1.freetv.fun/yan-dong-zhu-jiang-19.ctv$1280x720, Date: None, Resolution: 1280x720, Response Time: 375 ms
Name: 广东珠江, URL: https://stream1.freetv.fun/yan-dong-zhu-jiang-2.ctv$1280x720, Date: None, Resolution: 1280x720, Response Time: 375 ms
Name: 广东珠江, URL: https://stream1.freetv.fun/yan-dong-zhu-jiang-11.m3u8$1280x720, Date: None, Resolution: 1280x720, Response Time: 375 ms
Name: 广东珠江, URL: http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010091/1.m3u8, Date: None, Resolution: None, Response Time: 1858 ms
Name: 广东珠江, URL: https://stream1.freetv.fun/yan-dong-zhu-jiang-26.m3u8$1280x720, Date: None, Resolution: 1280x720, Response Time: 375 ms
Name: 广东珠江, URL: https://stream1.freetv.fun/yan-dong-zhu-jiang-10.ctv$1280x720, Date: None, Resolution: 1280x720, Response Time: 375 ms
Name: 广东珠江, URL: https://stream1.freetv.fun/yan-dong-zhu-jiang-23.ctv$1280x720, Date: None, Resolution: 1280x720, Response Time: 375 ms
Name: 广东珠江, URL: https://stream1.freetv.fun/yan-dong-zhu-jiang-21.ctv$1280x720, Date: None, Resolution: 1280x720, Response Time: 375 ms
Name: 广东珠江, URL: https://stream1.freetv.fun/yan-dong-zhu-jiang-13.ctv$1280x720, Date: None, Resolution: 1280x720, Response Time: 375 ms
Name: 广东珠江, URL: https://stream1.freetv.fun/yan-dong-zhu-jiang-25.ctv$1280x720, Date: None, Resolution: 1280x720, Response Time: 375 ms
Name: 广东珠江, URL: https://stream1.freetv.fun/ipv6-yan-dong-zhu-jiang-8.m3u8$1280x720, Date: None, Resolution: 1280x720, Response Time: 375 ms
